HGNC_Symbol,log2R_CNA,Z_Score
SNORD121B,2,-0.0117
HTR4,2,-0.0117
SNORD121A,2,-0.0104
HTR6,2,-0.0116
HTR7,2,-0.0115
RNU6-654P,2,-0.0117
RN7SL563P,4,-0.0111
ARL14EPP1,4,-0.0116
EXOC3-AS1,2,-0.0065
DHDH,2,-0.0113
AL356495.1,2,-0.0090
RNU6-653P,4,-0.0117
COL13A1,2,-0.0067
AC077690.1,4,-0.0117
BNC2-AS1,2,-0.0042
SNORA63B,2,-0.0117
RNU6-656P,2,-0.0117
SNORA63C,4,-0.0107
SNORA63D,2,-0.0099
RN7SL561P,4,-0.0117
SNORA63E,4,-0.0117
AC097499.2,2,-0.0117
DHFR,2,-0.0081
AC007066.1,2,-0.0110
AC007066.2,2,-0.0111
DCLRE1CP1,2,-0.0116
AC097499.1,4,-0.0117
RNU6-655P,3,-0.0117
RN7SL560P,2,-0.0117
AL390037.1,2,-0.0117
RNU6-650P,4,-0.0117
MYBPC3,2,-0.0117
MYBPC1,2,-0.0117
MYBPC2,3,-0.0117
AL158032.2,2,-0.0117
AL158032.1,2,-0.0117
AC091965.1,2,-0.0116
TMEFF1,2,-0.0117
AC091965.2,2,-0.0117
TRDD2,4,-0.0117
TMEFF2,4,-0.0117
AC091965.3,2,-0.0117
TRDD3,4,-0.0117
TRDD1,4,-0.0117
AC091965.4,2,-0.0117
AC091965.5,2,-0.0105
VCAN-AS1,2,-0.0103
RPS7P11,2,-0.0095
AL353613.1,2,-0.0117
RPS7P12,2,-0.0116
RPS7P10,2,-0.0101
AL080315.1,2,-0.0117
AC064836.1,4,-0.0116
AC064836.2,2,-0.0103
AC064836.3,2,-0.0115
BORCS7-ASMT,2,-0.0117
RPS7P15,2,-0.0114
AL024509.1,4,-0.0117
RPS7P13,2,-0.0116
RNU6-652P,2,-0.0085
AL024509.2,4,-0.0117
RPS7P14,3,-0.0117
MBD3,3,-0.0016
MBD4,4,0.0102
MBD5,4,-0.0097
MBD6,2,-0.0106
MBD1,3,0.0078
MBD2,3,0.0109
AC006237.1,2,-0.0117
RNU6-651P,4,-0.0117
AC006967.1,3,-0.0117
AC006967.2,3,-0.0116
AC006967.3,4,-0.0117
RNF14P1,4,-0.0116
RNF14P2,2,-0.0117
FBXO27,2,-0.0104
FBXO28,4,0.0112
FBXO25,4,-0.0062
FBXO24,3,-0.0116
AC104257.1,4,-0.0117
MCHR2-AS1,4,-0.0117
FBXO21,2,0.0127
AC236972.3,2,-0.0117
AC236972.4,2,-0.0117
FBXO22,2,-0.0039
AC236972.1,2,-0.0117
AC236972.2,2,-0.0117
CLDN7P1,2,-0.0117
IGHD2OR15-2B,2,-0.0117
MYBPHL,4,-0.0116
IGHD2OR15-2A,2,-0.0117
RNF14P3,3,-0.0115
RNF14P4,3,-0.0117
AC011530.1,2,-0.0117
AC044839.2,2,-0.0117
AC044839.3,2,-0.0115
AC073592.10,2,-0.0117
FBXO16,4,-0.0116
FBXO17,3,-0.0030
AC044839.1,2,-0.0117
FBXO15,2,-0.0116
FBXO10,2,-0.0092
FBXO11,2,-0.0018
AC092794.1,2,-0.0114
AC092794.2,2,-0.0115
MINPP1,2,0.0114
Z97192.1,6,-0.0117
Z97192.2,2,-0.0117
Z97192.3,6,-0.0117
FBXO47,2,-0.0116
FBXO48,2,-0.0113
FBXO45,2,-0.0057
FBXO46,2,-0.0065
FBXO43,4,-0.0116
Z97192.4,NA,-0.0117
FBXO44,4,-0.0031
FBXO41,4,-0.0108
FBXO42,4,-0.0040
GRAMD4P3,5,-0.0117
FBXO40,2,-0.0117
GRAMD4P4,2,-0.0117
GRAMD4P1,2,-0.0117
GRAMD4P2,2,-0.0117
GRAMD4P7,3,-0.0117
GRAMD4P8,4,-0.0115
GRAMD4P5,2,-0.0117
GRAMD4P6,2,-0.0117
MBIP,2,-0.0039
AC040963.1,2,-0.0117
AC007160.1,2,-0.0114
Z73965.1,2,-0.0116
HTR1E,2,-0.0117
AC073636.1,4,-0.0117
AC138832.1,2,-0.0110
HTR1F,4,-0.0116
FBXO38,2,0.0100
HTR1D,4,-0.0117
FBXO39,2,-0.0115
FBXO36,2,-0.0087
HTR1A,2,-0.0117
HTR1B,2,-0.0116
FBXO34,4,0.0025
FBXO32,2,0.0083
FBXO33,2,0.0048
FBXO30,4,-0.0015
FBXO31,3,0.0041
FAM90A1,2,-0.0116
AC107613.1,3,-0.0117
AGAP1-IT1,2,-0.0115
HTR2B,4,0.0949
HTR2C,3,-0.0117
AC007066.3,2,-0.0116
HTR2A,4,-0.0116
HCFC1-AS1,2,-0.0110
AC005888.1,2,-0.0117
AL160006.1,2,-0.0083
MBL2,2,-0.0117
AP003484.1,2,-0.0117
VPS13C,5,0.0119
HTR3E,4,-0.0117
DHPS,2,-0.0104
VPS13D,4,0.0073
VPS13A,2,-0.0030
HTR3C,4,-0.0117
HTR3D,4,-0.0117
VPS13B,2,0.0078
HTR3A,2,-0.0117
HTR3B,2,-0.0117
CD24P4,NA,-0.0117
CD24P1,2,-0.0117
CD24P2,2,-0.0117
AC106774.1,2,-0.0117
TOLLIP-DT,2,-0.0100
IL2RG,3,-0.0117
AL078581.1,2,-0.0057
AC113391.2,2,-0.0117
AL078581.4,2,-0.0102
AL078581.2,4,-0.0093
AL078581.3,4,-0.0117
AC113391.1,2,-0.0117
CNPY2-AS1,2,-0.0113
CYP4A27P,4,-0.0117
OR7E55P,2,-0.0116
AC067968.1,3,-0.0117
OR7E53P,4,-0.0117
GPKOW,2,0.0176
TRDJ2,4,-0.0117
TRDJ3,2,-0.0117
TRDJ1,2,-0.0117
HTR5A,4,-0.0117
AC093382.1,2,-0.0115
IL2RA,2,-0.0117
TRDJ4,2,-0.0117
ANKRD62P1-PARP4P3,2,-0.0117
IL2RB,6,-0.0117
AL035670.1,4,-0.0117
CYP4A26P,4,-0.0117
AC067968.2,2,-0.0117
RNU7-9P,4,-0.0117
AC106045.1,NA,-0.0117
AC002996.1,2,-0.0117
OR2AH1P,2,-0.0117
AC007795.1,3,-0.0117
PEX26,5,-0.0063
AC010941.1,4,-0.0117
IL36A,4,-0.0117
IL36B,2,-0.0117
OR7E43P,2,-0.0117
AC090740.1,2,-0.0117
RNU7-8P,4,-0.0108
AL451049.1,2,-0.0117
SEZ6L-AS1,2,-0.0117
DMD-AS3,3,-0.0117
