HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,0.718022,0.04
RB1,-0.00867467,22.69
SMARCB1,-0.0820785,44.54
MYT1L,-0.120298,0.43
EHMT2,0.56175,28.29
KEAP1,-0.116205,30.58
JMJD1C,-0.0182307,34.82
ADARB1,-0.247513,7.06
IKZF1,1.22466,0
PPP2R1A,0.583127,126.25
AKT2,0.583127,90.93
CHEK2,-0.182945,7.31
MYC,0.656581,139.71
AKT3,0.735514,60.93
MYB,-1.35826,0.76
FBXO4,0.042412,7.22
KDR,0.150638,0.03
AKT1,-0.0264681,98.83
PIP4K2C,0.0741491,53.14
HMCN1,0.950128,87.47
SOX9,-0.0670572,0
SKP2,0.0294537,11.82
B2M,-1.33179,118.2
TP63,0.078556,0.01
EPHA5,0.150638,0
DAXX,0.590342,44.41
CIRBP,-0.116205,164.75
HLA-A,0.56175,1535.04
DICER1,-0.150853,15.22
HNF1A,-1.56603,0.1
TMEM82,-0.134694,0
JMJD6,-0.176136,18.11
RUNX1,-0.0981943,22.75
BCR,-0.0820785,5.82
AR,0.0836592,0.01
SCGB1C1,-0.116142,0
KCNQ2,0.567494,0.1
DDIT4,-0.0182307,70.03
BTK,0.0473131,0.3
TP53,-0.141863,18.35
EPHA3,0.187893,0.19
LLGL2,-0.176136,2.73
EPHA10,-0.103843,0.4
PDGFB,-0.182945,1.08
PDGFA,1.05031,16.59
PRDM14,-0.0386902,0.01
PIK3R1,0.042412,18.57
GATA3,-0.108485,0.16
GATA2,-0.0936238,3.17
GATA1,0.0836592,0
GRIN2A,-0.139006,0.01
NKAIN4,0.567494,0.08
BRIP1,-0.0670572,6.27
H3C2,0.754454,0.12
APOBEC3C,-0.182945,33.76
WWTR1,0.1787,69.98
APOBEC3D,-0.182945,3.18
FER1L5,0.3546,0
CREBBP,-0.139006,20.06
YES1,-0.0141525,36.33
APOBEC3F,-0.182945,5.08
APOBEC3G,-0.182945,7.08
XRCC2,0.593422,12.93
PLK1,-0.139006,28.89
XRCC3,-0.0264681,14.71
BRAF,0.745453,14.87
A1CF,0.127212,0
H1-2,0.754454,38.53
SMARCA4,-0.116205,65.98
CYLD,-0.127746,15.27
STAG2,0.0473131,41.89
AGO3,-0.134694,5.01
AGO4,-0.134694,8.76
FUBP1,0.117826,88.2
ID2,0.00411729,1.06
AGO1,-0.134694,7.92
AGO2,0.537603,13.63
ID1,0.625826,0.51
ID3,-0.134694,0.4
ATM,0.0968834,35.3
FAT4,-1.25564,0.15
CDK12,-0.179982,28.48
APOBEC3A,-0.182945,0.26
EZH1,-0.179982,9.81
BAP1,-0.121521,45.14
TP73,-0.226419,1.25
EZH2,0.718022,24.06
ATR,-0.0359462,10.72
RET,0.0101202,0.05
COL18A1,-0.247513,19.89
SETD2,-1.4488,9.33
CDKN1B,0.102154,17.39
SETD7,-0.0211698,27.38
CTCF,-0.019957,18.38
BRCA1,-0.179982,9.26
BRCA2,0.0584183,8.44
GLI1,0.0741491,1.86
PHF6,0.0473131,10.2
GLI3,1.22466,11.31
GLI2,-0.0153615,0.01
MED12,0.0836592,16.87
HEY1,0.120727,13.01
HEY2,-1.33311,0.79
JAK2,0.0230795,3.26
CIC,0.583127,74.13
HRAS,-0.116142,36.62
JAK3,-0.116205,0.83
TEAD1,0.0391185,30.89
H3-3A,0.69038,302.11
TEAD2,0.583127,24.05
CCR2,-1.4488,0
JAK1,0.117826,27.83
APOBEC1,-0.05316,0
PRMT6,0.00350784,6.35
TEAD4,-0.156343,16.28
PRMT5,0.0593892,64.58
PBRM1,-0.121521,25.41
APOBEC2,0.590342,0
PRMT2,-0.247513,63.53
PRMT1,0.583127,149.43
APOBEC4,0.741944,0
HSBP1,-0.187981,67.61
NCOA3,0.625826,14.22
GPR32,0.583127,0
MST1,-1.396,6.14
PRMT3,0.0391185,20.16
TET2,0.111866,0
PAX5,-0.014152,0.17
ASH1L,0.658841,19.11
MED23,-1.35826,5.29
RAD51B,-0.00759616,5.92
ITPKB,0.69038,22.7
RAD51D,-0.230829,7.57
NCOR1,-0.141863,31.59
RAD51C,-0.0670572,15.83
KIT,0.150638,0
DDR2,0.792227,32.01
AMER1,0.0836592,0
YAP1,0.0968834,45.26
SLC66A1,-0.134694,15.3
DOT1L,-0.116205,7.7
CXCR4,-0.0427608,0
EGFR,1.24877,0
RAD54B,0.775812,11.09
NSD3,-0.038634,28.83
NRAS,0.00350784,35.9
NSD1,-0.155087,3.12
HSF2,-1.33311,9.26
HSF1,0.537603,73.3
NSD2,-0.132307,39.27
HSF4,-0.019957,89.6
SPOP,-0.0670572,8.56
RAD54L,-0.103843,6.12
PMS2,1.05031,25.92
CSMD3,0.890929,0.01
BID,-1.38538,11.01
PAK3,0.0473131,0.06
SF3B1,0.13812,129.29
PMS1,0.13812,6.53
NPM1,-0.155087,1529.81
CDKN2C,0.0374585,22.87
MAP3K1,0.042412,7.32
CDKN2A,-1.2095,0
H2BC4,0.754454,20.34
SAAL1,0.0391185,17.54
WNT7A,-0.0634672,0
MLH1,-1.41231,10.93
TARBP2,0.0741491,20.6
DSPP,0.184838,0
KLHL6,0.078556,0.13
TTC5,0.0593892,4.73
WT1,0.00611535,3.46
NEK10,-1.26805,0.25
CTNNB1,-1.4488,158.1
CRLF2,-0.0602935,0.21
FOXA1,0.0838578,0.47
PRDM9,0.208097,0
KDM1A,-0.134694,30.3
KDM1B,0.754454,12.91
MPL,-0.103843,0
ATN1,-0.05316,62.68
PRDM2,-0.134694,16.24
PRDM1,-1.33311,0.13
IGF1R,-0.0856757,7.03
STK11,-0.116205,27.71
CCND1,-0.0793067,72.22
CDH1,-0.019957,5.56
HCFC1R1,-0.139006,28.87
EP300,-0.182945,22.99
ARID2,0.102154,10.32
ROS1,-1.33311,0.01
MEN1,-0.0793067,19.88
LMO1,-0.131301,0
PDGFRB,-0.0289656,0.04
PDGFRA,0.150638,0.2
MAP2K4,-0.141863,9.74
RNF43,-0.0670572,0.19
MAP2K1,-0.0856757,26.62
