"HGNC_Symbol","Cluster"
"SNORD121B",1
"HTR4",3
"SNORD121A",1
"HTR6",3
"HTR7",3
"RNU6-654P",1
"RN7SL563P",2
"ARL14EPP1",1
"EXOC3-AS1",1
"DHDH",3
"AL356495.1",1
"RNU6-653P",2
"COL13A1",3
"AC077690.1",1
"BNC2-AS1",2
"SNORA63B",1
"RNU6-656P",2
"SNORA63C",1
"RN7SL561P",1
"SNORA63D",1
"SNORA63E",1
"AC097499.2",1
"DHFR",3
"AC007066.1",1
"AC007066.2",1
"DCLRE1CP1",1
"AC097499.1",1
"RNU6-655P",1
"RN7SL560P",1
"AL390037.1",1
"RNU6-650P",2
"MYBPC3",3
"MYBPC1",3
"MYBPC2",3
"AL158032.2",1
"AL158032.1",1
"AC091965.1",1
"TMEFF1",3
"AC091965.2",1
"TMEFF2",3
"TRDD2",1
"TRDD3",1
"AC091965.3",1
"TRDD1",1
"AC091965.4",1
"AC091965.5",1
"VCAN-AS1",1
"RPS7P11",1
"RPS7P12",2
"AL353613.1",1
"RPS7P10",1
"AL080315.1",1
"AC064836.1",1
"AC064836.2",1
"AC064836.3",1
"BORCS7-ASMT",1
"RPS7P15",1
"AL024509.1",1
"RPS7P13",2
"AL024509.2",1
"RNU6-652P",1
"RPS7P14",2
"MBD3",3
"MBD4",3
"MBD5",1
"MBD6",3
"MBD1",3
"MBD2",3
"AC006237.1",1
"RNU6-651P",1
"AC006967.1",2
"AC006967.2",2
"AC006967.3",2
"RNF14P1",1
"RNF14P2",1
"FBXO27",3
"FBXO28",1
"FBXO25",1
"FBXO24",3
"AC104257.1",2
"FBXO21",1
"MCHR2-AS1",2
"AC236972.3",2
"AC236972.4",2
"FBXO22",3
"AC236972.1",2
"AC236972.2",2
"CLDN7P1",1
"MYBPHL",3
"IGHD2OR15-2B",1
"IGHD2OR15-2A",1
"RNF14P3",2
"RNF14P4",2
"AC011530.1",1
"AC044839.2",1
"AC044839.3",1
"AC073592.10",1
"FBXO16",1
"AC044839.1",1
"FBXO17",3
"FBXO15",3
"FBXO10",1
"FBXO11",3
"AC092794.1",1
"MINPP1",2
"AC092794.2",1
"Z97192.1",2
"Z97192.2",2
"Z97192.3",2
"FBXO47",3
"FBXO48",3
"FBXO45",1
"FBXO46",1
"FBXO43",2
"Z97192.4",1
"FBXO44",3
"FBXO41",1
"FBXO42",1
"GRAMD4P3",2
"GRAMD4P4",1
"FBXO40",3
"GRAMD4P1",1
"GRAMD4P2",1
"GRAMD4P7",1
"GRAMD4P8",1
"GRAMD4P5",1
"GRAMD4P6",1
"MBIP",1
"AC040963.1",1
"Z73965.1",2
"AC007160.1",1
"AC138832.1",1
"AC073636.1",1
"HTR1E",3
"HTR1F",3
"FBXO38",1
"HTR1D",1
"FBXO39",3
"FBXO36",3
"HTR1A",3
"HTR1B",3
"FBXO34",1
"FBXO32",3
"FBXO33",1
"FBXO30",1
"FBXO31",1
"FAM90A1",3
"AC107613.1",1
"AGAP1-IT1",1
"HTR2B",3
"HTR2C",3
"AC007066.3",1
"HTR2A",3
"HCFC1-AS1",2
"AC005888.1",1
"AL160006.1",1
"MBL2",3
"AP003484.1",1
"VPS13C",1
"HTR3E",3
"VPS13D",3
"DHPS",3
"HTR3C",3
"VPS13A",1
"HTR3D",3
"VPS13B",2
"HTR3A",3
"HTR3B",3
"CD24P4",1
"CD24P1",1
"CD24P2",1
"AC106774.1",1
"TOLLIP-DT",1
"IL2RG",3
"AL078581.1",1
"AL078581.4",1
"AC113391.2",1
"AL078581.2",2
"AC113391.1",1
"AL078581.3",2
"CNPY2-AS1",1
"CYP4A27P",1
"OR7E55P",2
"OR7E53P",1
"AC067968.1",2
"GPKOW",3
"TRDJ2",1
"TRDJ3",1
"TRDJ1",1
"HTR5A",2
"AC093382.1",1
"IL2RA",3
"ANKRD62P1-PARP4P3",1
"TRDJ4",1
"IL2RB",3
"AL035670.1",2
"CYP4A26P",1
"AC067968.2",2
"RNU7-9P",1
"AC106045.1",1
"AC002996.1",1
"OR2AH1P",1
"AC007795.1",1
"PEX26",1
"AC010941.1",1
"IL36A",3
"IL36B",3
"OR7E43P",1
"AC090740.1",1
"RNU7-8P",1
"AL451049.1",1
"SEZ6L-AS1",2
"DMD-AS3",1
"ZNF542P",1
"AC098828.1",1
"CRISPLD1",2
"CRISPLD2",3
"TBC1D26-AS1",1
"DOCK9-DT",1
"DHX8",3
"DHX9",3
"AC116533.1",1
"AC080013.1",1
"MC2R",3
"AC093142.1",1
"AC080013.2",1
"AC080013.3",1
"AC080013.4",1
"STK25P1",1
"OR7E47P",1
"AC005252.2",1
"AC005252.3",1
"AC005252.4",1
"SLC10A4",3
"SLC10A5",3
"SLC10A6",3
"SLC10A7",1
"AC005252.1",1
"TRDV2",1
"SLC10A1",3
"TRDV3",1
"SLC10A2",3
"SLC10A3",3
"TRDV1",1
"IL36G",3
"AC022023.1",1
"AC022023.2",1
"PEX5L",3
"AL162393.1",1
"MC1R",3
"AL021368.5",1
"AL021368.1",2
"AL021368.2",2
"AL021368.3",2
"AL021368.4",2
"OR7E46P",1
"OR3A4P",1
"AL137076.1",1
"MC4R",3
"MIR223HG",2
"ZHX2",2
"ZHX3",1
"CACYBP",3
"MLECP1",1
"RNU7-4P",1
"ZHX1",2
"RNF144A",3
"RNF144B",3
"MC3R",3
"AP005057.1",1
"RNU7-7P",1
"PEX16",3
"PEX19",3
"MT2P1",1
"RNU7-6P",1
"PEX10",3
"PEX12",1
"PEX13",1
"PEX14",3
"MC5R",3
"PPM1J-DT",1
"AL033523.1",1
"AL033523.2",1
"RN7SL559P",1
"SNORA58B",1
"INPPL1",3
"AC027673.1",1
"IGF1R",3
"PPIP5K1",1
"AL691449.1",1
"PPIP5K2",3
"AL139379.1",1
"MIR6129",1
"MIR6127",1
"MIR6128",1
"MIR6125",1
"MIR6126",1
"MIR6124",1
"SNORA59A",1
"SNORA59B",1
"RN7SL558P",1
"NDFIP2-AS1",1
"DHDDS",3
"AL357084.1",2
"AC006238.1",1
"RNU6-649P",1
"AC006238.2",1
"AC104841.1",1
"RBMS2P1",1
"AL390038.1",1
"RN7SL557P",1
"HTRA3",3
"HTRA4",3
"HTRA1",3
"HTRA2",3
"RNU7-3P",2
"AC008635.1",1
"AL391845.1",1
"AL391845.2",1
"AL392185.1",1
"HULC",1
"RN7SL556P",1
"ZNF350-AS1",1
"CHCHD10",3
"RNU7-2P",1
"IGF2R",3
"AC010451.1",1
"AL355916.1",1
"AC010451.2",1
"AL355916.2",1
"AL355916.3",1
"OR7M1P",1
"AP000842.3",1
"AP000842.1",1
"AP000842.2",1
"AL353759.1",1
"AC010451.3",1
"AP003973.1",1
"AP003973.2",1
"AP003973.3",1
"RN7SL555P",1
"AP003973.4",1
"AC100870.1",2
"AC119424.1",2
"AL136102.1",1
"AC034206.1",1
"ZIC2",3
"ZIC3",3
"ZIC1",3
"RNU6-646P",1
"MIR6165",1
"AC019127.1",2
"HUNK",3
"IGHV2OR16-5",1
"Z99496.1",2
"RBM48P1",1
"RN7SL554P",1
"RNU6-645P",1
"MSH2-OT1",1
"AC107029.1",1
"AC107029.2",1
"AL954722.1",1
"RNU6-648P",2
"AP001180.5",1
"CLVS2",3
"RN7SL553P",1
"AP001180.3",1
"AL512646.1",1
"AP001180.4",1
"AP001180.1",1
"AP001180.2",1
"CLVS1",3
"MIR6130",1
"MIR6131",1
"AL138885.1",1
"AL138885.2",1
"AL138885.3",1
"ZIC4",3
"ZIC5",3
"AL121785.1",1
"RNU6-647P",2
"RN7SL552P",1
"MIR6134",1
"MIR6132",2
"AL034351.3",1
"MNX1-AS1",2
"MIR6133",2
"AL034351.4",1
"MNX1-AS2",2
"RPL36AP13",1
"RPL36AP14",1
"RPL36AP15",1
"RPL36AP16",1
"EPS15-AS1",1
"BPTFP1",1
"SCN11A",3
"RNU6-666P",1
"RN7SL575P",1
"AC084128.1",2
"RPL36AP21",1
"SSTR5-AS1",1
"RPL36AP29",1
"AC010609.1",1
"RPL36AP26",1
"HUS1",3
"SCN10A",3
"RNU6-665P",2
"RN7SL574P",1
