HGNC_Symbol,log2R_CNA,Z_Score
HTR4,0.036531796,-0.0820
CRHBP,0.036531796,-0.0816
HTR6,-0.035338513,-0.0820
HTR7,-0.159890276,-0.0754
LURAP1L,-0.008014924,-0.0719
BBX,0.010592342,-0.0089
GSTK1,0.194459056,0.3431
WDR83OS,0.008156107,0.3528
DHDH,0.008156107,-0.0800
INSYN1,-0.151658912,-0.0755
BCR,0.01681102,-0.0342
ORAI3,-0.006857463,-0.0242
ORAI2,0.194459056,0.0270
AGTR1,0.010592342,-0.0819
ORAI1,-0.07734153,0.0129
VOPP1,-0.0361531,0.0081
HOATZ,-0.194518358,-0.0820
AGTR2,-0.058335399,-0.0820
COL13A1,-0.159448665,-0.0814
SHMT2,0.025029741,1.0039
SHMT1,0.008019439,-0.0348
B3GLCT,0.074730997,-0.0487
RDH12,-0.016630703,-0.0789
RDH11,-0.016630703,0.1765
RDH10,0.081014698,-0.0519
RDH16,0.025029741,-0.0820
RDH14,0.004681618,-0.0118
RDH13,0.008156107,-0.0295
GTF2IRD2B,-0.0361531,-0.0094
GSTM4,-0.035338513,0.0202
GSTM3,-0.035338513,0.1728
GSTM1,-0.035338513,-0.0237
NEBL,-0.159448665,-0.0820
DHFR,0.036531796,-0.0456
DELEC1,-0.045428437,-0.0819
PKIB,-0.140240844,-0.0809
STRC,-0.151658912,-0.0815
PKIA,0.081014698,-0.0814
L1TD1,-0.035338513,-0.0820
STRN,0.004681618,-0.0413
PKIG,0.310628638,0.1337
GSTM5,-0.035338513,-0.0820
GTF2H2C,0.034225304,-0.0003
KCNC1,-0.011793452,-0.0786
KCNC2,0.025029741,-0.0820
KCNC3,0.008156107,-0.0787
KCNC4,-0.035338513,-0.0347
BBC3,0.008156107,0.0313
NPAP1,-0.151658912,-0.0820
GLT1D1,-0.07734153,-0.0820
NEFL,0.081014698,-0.0540
NEFM,0.081014698,-0.0820
NEFH,0.203112464,-0.0820
STUM,-0.022301807,-0.0818
MYBPC3,-0.011793452,-0.0820
MYBPC1,-0.07734153,-0.0820
MYBPC2,0.008156107,-0.0820
KCND1,-0.059359202,-0.0803
GSTO2,-0.159890276,-0.0804
KCND2,0.194459056,-0.0820
KCND3,-0.035338513,-0.0820
GSTO1,-0.159890276,1.2222
BGN,0.156599115,-0.0536
TMEFF1,-0.045428437,-0.0749
TMEFF2,0.263048439,-0.0820
PKN3,-0.045428437,-0.0772
SYNPO2,-0.021632015,-0.0811
GSTP1,0.109133608,1.1248
KCNA1,0.025029741,-0.0820
KCNA2,-0.035338513,-0.0814
PTAFR,-0.035338513,-0.0818
ADAM22,0.19480524,-0.0778
KCNA3,-0.035338513,-0.0820
ADAM21,-0.016630703,-0.0816
KCNA4,-0.011793452,-0.0819
ADAM20,-0.016630703,-0.0819
KCNA5,0.025029741,-0.0820
SDAD1,-0.021632015,0.0623
KCNA7,0.008156107,-0.0818
ADAM29,-0.021632015,-0.0820
ADAM28,0.081014698,-0.0814
ADAM23,-0.0004091,-0.0582
STX6,-0.022301807,-0.0204
STX5,0.109133608,0.0222
STX4,-0.006857463,0.0456
STX3,0.109133608,0.2968
STX2,-0.07734153,-0.0347
BID,0.01681102,0.0390
