HGNC_Symbol,log2R_CNA,Z_Score
RB1,0.0241697,7.84
EPHB6,0.867412,0.1
SMARCB1,0.0872904,41.25
MYT1L,0.858064,0.12
EHMT2,0.0238153,20.2
KEAP1,0.0900553,24.07
JMJD1C,-0.0183997,22.4
ADARB1,0.025531,9.47
IKZF1,0.00734968,0.01
PPP2R1A,0.0900553,97.24
AKT2,0.0900553,38.35
CHEK2,0.0192544,14.06
MYC,1.38278,155.06
AKT3,0.837595,15.05
MYB,0.0114822,0.22
FBXO4,-0.0194799,10.21
KDR,-0.000866987,0.41
AKT1,0.0488337,50.1
HMCN1,0.833883,67.39
SOX9,0.323169,1.67
PIP4K2C,0.023734,16.98
SKP2,0.0168847,4.98
B2M,-5.38276,73.27
TP63,0.112073,0.09
EPHA5,-0.0237147,0
DAXX,0.0238153,19.38
CIRBP,0.0470321,225.35
HNF1A,0.0717048,0.1
HLA-A,0.0238153,1012.36
DICER1,0.0488337,10.02
JMJD6,0.323169,19.46
TMEM82,0.0606306,0.09
RUNX1,0.0199757,7.25
BCR,0.0872904,5.75
AR,1.40085,0.09
SCGB1C1,0.301199,0
KCNQ2,0.0418616,29.43
DDIT4,0.0779264,51.58
BTK,1.41164,0.51
TP53,0.0451096,20.82
EPHA3,0.0146734,0.17
LLGL2,0.323169,0.82
EPHA10,0.0606306,0.45
PDGFB,0.0192544,0.2
PRDM14,1.37497,0
PDGFA,0.00734968,88.41
GATA3,0.034096,0.23
PIK3R1,-0.0194799,4.03
GATA2,0.0544201,0.77
GATA1,-0.00775365,0.03
NKAIN4,0.0418616,4.05
GRIN2A,0.0418571,0
BRIP1,0.323169,2.97
H3C2,0.0238153,0
APOBEC3C,0.0192544,14.61
WWTR1,0.0462332,42.69
APOBEC3D,0.0192544,3.86
CREBBP,0.0418571,9.74
FER1L5,0.90486,0.01
APOBEC3F,0.0192544,4.24
YES1,-0.0527268,19.29
APOBEC3G,0.0192544,20.97
XRCC2,0.867412,5.7
PLK1,0.0418571,11.58
XRCC3,0.0488337,9.77
BRAF,0.867412,16.03
A1CF,-0.0183997,0
H1-2,0.0238153,3.61
SMARCA4,0.0900553,49.19
CYLD,0.0494989,5.46
STAG2,1.41164,41.01
AGO3,0.0606306,3.63
AGO4,0.0606306,3.4
AGO1,0.0606306,3.45
ID2,0.858064,0.58
FUBP1,0.0123357,61.49
AGO2,1.38278,10.01
ID1,0.0418616,1.13
ID3,0.0606306,2.2
ATM,0.729004,52.94
CDK12,0.0118241,19.27
