HGNC_Symbol,log2R_CNA,Z_Score
SNORD121B,2,-0.0090
HTR4,3,-0.0090
SNORD121A,2,-0.0082
HTR6,6,-0.0089
HTR7,2,-0.0066
RNU6-654P,2,-0.0090
RN7SL563P,3,0.0062
ARL14EPP1,3,-0.0085
EXOC3-AS1,3,-0.0056
DHDH,2,-0.0087
AL356495.1,2,-0.0088
RNU6-653P,2,-0.0088
COL13A1,2,-0.0075
AC077690.1,5,-0.0090
BNC2-AS1,2,-0.0073
SNORA63B,4,-0.0090
RNU6-656P,3,-0.0090
SNORA63C,6,-0.0038
SNORA63D,4,0.0080
RN7SL561P,4,-0.0089
SNORA63E,4,-0.0090
DHFR,3,-0.0020
AC097499.2,3,-0.0090
AC007066.1,2,-0.0083
DCLRE1CP1,2,-0.0089
AC007066.2,2,-0.0086
AC097499.1,3,-0.0090
RNU6-655P,3,-0.0090
RN7SL560P,2,-0.0090
AL390037.1,4,-0.0090
RNU6-650P,2,-0.0090
MYBPC3,2,-0.0090
MYBPC1,3,-0.0090
MYBPC2,2,-0.0088
AL158032.2,2,-0.0090
AL158032.1,2,-0.0090
TMEFF1,2,-0.0090
AC091965.1,3,-0.0089
TMEFF2,3,-0.0089
TRDD2,5,-0.0043
AC091965.2,3,-0.0090
AC091965.3,3,-0.0090
TRDD3,5,-0.0074
TRDD1,5,-0.0090
AC091965.4,3,-0.0088
AC091965.5,3,-0.0080
VCAN-AS1,4,-0.0085
RPS7P11,4,-0.0076
AL353613.1,2,-0.0090
RPS7P12,2,-0.0090
RPS7P10,2,-0.0081
AL080315.1,2,-0.0090
AC064836.1,3,-0.0089
AC064836.2,3,-0.0076
AC064836.3,3,-0.0086
BORCS7-ASMT,2,-0.0090
RPS7P15,3,-0.0086
AL024509.1,3,-0.0090
RPS7P13,2,-0.0090
AL024509.2,3,-0.0090
RPS7P14,2,-0.0090
RNU6-652P,3,-0.0080
MBD3,2,-0.0036
MBD4,5,0.0080
MBD5,3,-0.0067
MBD6,3,-0.0060
MBD1,3,0.0069
MBD2,3,0.0009
AC006237.1,2,-0.0090
RNU6-651P,3,-0.0090
AC006967.1,2,-0.0090
AC006967.2,2,-0.0090
AC006967.3,2,-0.0090
RNF14P1,3,-0.0088
RNF14P2,3,-0.0090
FBXO27,2,-0.0089
FBXO28,3,0.0043
FBXO25,3,-0.0054
FBXO24,2,-0.0089
FBXO21,3,0.0081
MCHR2-AS1,2,-0.0090
AC104257.1,3,-0.0090
AC236972.3,2,-0.0090
AC236972.4,2,-0.0090
FBXO22,4,-0.0032
AC236972.1,2,-0.0090
AC236972.2,2,-0.0090
CLDN7P1,2,-0.0090
MYBPHL,3,-0.0089
IGHD2OR15-2B,4,-0.0090
IGHD2OR15-2A,4,-0.0083
RNF14P3,2,-0.0089
RNF14P4,2,-0.0089
AC011530.1,4,-0.0090
AC044839.2,2,-0.0090
AC073592.10,3,-0.0089
AC044839.3,2,-0.0088
FBXO16,3,-0.0080
FBXO17,2,-0.0074
AC044839.1,2,-0.0090
FBXO15,3,-0.0087
FBXO10,2,-0.0085
FBXO11,3,0.0014
AC092794.1,4,-0.0083
AC092794.2,4,-0.0090
MINPP1,2,0.0020
Z97192.1,2,-0.0090
Z97192.2,2,-0.0090
Z97192.3,2,-0.0090
FBXO47,4,-0.0090
FBXO48,3,-0.0085
FBXO45,4,-0.0001
FBXO46,4,-0.0025
FBXO43,3,-0.0087
Z97192.4,NA,-0.0090
FBXO44,6,0.0000
FBXO41,3,-0.0078
FBXO42,6,0.0043
GRAMD4P3,4,-0.0090
FBXO40,4,-0.0090
GRAMD4P4,4,-0.0090
GRAMD4P1,4,-0.0090
GRAMD4P2,3,-0.0090
GRAMD4P7,3,-0.0086
GRAMD4P8,3,-0.0090
GRAMD4P5,4,-0.0090
GRAMD4P6,4,-0.0090
MBIP,4,0.0030
AC040963.1,3,-0.0090
Z73965.1,2,-0.0087
AC007160.1,4,-0.0090
HTR1E,2,-0.0090
AC138832.1,3,-0.0086
AC073636.1,3,-0.0090
HTR1F,5,-0.0089
FBXO38,3,0.0012
FBXO39,3,-0.0090
HTR1D,6,-0.0079
HTR1A,4,-0.0090
FBXO36,3,-0.0075
HTR1B,3,-0.0089
FBXO34,4,0.0066
FBXO32,3,0.0114
FBXO33,4,0.0027
FBXO30,2,-0.0047
FAM90A1,3,-0.0088
FBXO31,3,-0.0029
AC107613.1,2,-0.0090
AGAP1-IT1,3,-0.0069
HTR2B,3,-0.0081
HTR2C,2,-0.0090
AC007066.3,2,-0.0088
HTR2A,2,-0.0088
HCFC1-AS1,2,-0.0082
AC005888.1,3,-0.0090
AL160006.1,3,-0.0067
MBL2,2,-0.0090
AP003484.1,2,-0.0090
VPS13C,4,0.0120
HTR3E,4,-0.0090
VPS13D,6,0.0104
DHPS,3,-0.0077
HTR3C,4,-0.0090
VPS13A,2,-0.0045
HTR3D,4,-0.0090
VPS13B,3,0.0004
HTR3A,2,-0.0090
HTR3B,2,-0.0090
CD24P4,1,-0.0088
CD24P1,6,-0.0089
CD24P2,4,-0.0089
AC106774.1,4,-0.0090
TOLLIP-DT,2,-0.0085
IL2RG,2,-0.0090
AL078581.1,2,-0.0053
AC113391.2,3,-0.0090
AL078581.4,2,-0.0078
AL078581.2,2,-0.0072
AL078581.3,2,-0.0090
AC113391.1,3,-0.0090
CYP4A27P,5,-0.0090
