HGNC_Symbol,log2R_CNA,Z_Score
HTR4,0.148392134,-1.0058
CRHBP,0.148392134,-0.7127
HTR6,-0.023864755,-0.8284
HTR7,-0.023899674,0.3904
LURAP1L,-0.317106804,-0.5468
BBX,0.126200805,0.5370
GSTK1,0.037901483,1.5783
WDR83OS,-0.037604968,1.8560
DHDH,-0.037604968,-0.9981
INSYN1,0.021625393,-1.0058
BCR,0.130009738,0.6257
ORAI3,-0.042040344,0.1436
ORAI2,-0.028190255,0.2554
AGTR1,0.126200805,-1.0173
ORAI1,-0.022021247,0.8378
VOPP1,0.25933403,1.0962
HOATZ,0.003162922,-1.0212
AGTR2,-0.016323954,-1.0212
COL13A1,-0.023899674,0.9535
SHMT2,-0.022021247,1.7133
SHMT1,-0.013618898,1.0268
B3GLCT,0.00722171,0.1011
RDH12,0.021818955,-0.9903
RDH11,0.021818955,1.2158
RDH10,-0.028105365,-0.0107
RDH16,-0.022021247,-0.9942
RDH14,-0.020046189,0.6025
RDH13,-0.002227321,0.7606
GTF2IRD2B,-0.028190255,0.2593
GSTM4,-0.023864755,1.0769
GSTM3,-0.023864755,0.0279
GSTM1,-0.023864755,-0.9595
NEBL,-0.023899674,-0.6818
DHFR,0.148392134,1.2582
DELEC1,0.160414369,NA
PKIB,0.006516998,-0.2884
STRC,0.021625393,-0.9942
PKIA,-0.028105365,-0.4697
STRN,-0.020046189,0.0433
L1TD1,-0.023864755,-1.0212
PKIG,0.113522927,0.9226
GSTM5,-0.023864755,-1.0212
KCNC1,0.003162922,-0.9248
KCNC2,-0.022021247,-1.0212
KCNC3,-0.037604968,-0.4234
KCNC4,-0.023864755,-0.0994
BBC3,-0.037604968,0.0626
NPAP1,0.021625393,-1.0212
GLT1D1,-0.022021247,-1.0212
NEFL,-0.028105365,-0.5391
NEFM,-0.028105365,-0.9633
NEFH,-0.026816053,-0.9903
STUM,-0.023864755,-1.0212
MYBPC3,0.003162922,-1.0212
MYBPC1,-0.022021247,-1.0173
MYBPC2,-0.037604968,-0.9981
KCND1,-0.016323954,-0.8438
KCND2,0.153527104,-1.0212
GSTO2,-0.023899674,-0.7127
GSTO1,-0.023899674,2.2841
KCND3,-0.023864755,-0.9132
BGN,-0.016323954,-0.9749
TMEFF1,-0.02299809,-0.9441
TMEFF2,-0.020046189,-0.9903
PKN3,-0.047802058,-0.1148
KCNA1,-0.022021247,-1.0212
SYNPO2,-0.021303893,-1.0096
GSTP1,0.003162922,2.8588
PTAFR,-0.023864755,-0.9672
KCNA2,-0.023864755,-1.0212
KCNA3,-0.023864755,-1.0173
ADAM22,-0.028190255,-0.4234
ADAM21,0.021818955,-0.9903
KCNA4,0.003162922,-1.0173
KCNA5,-0.022021247,-1.0212
ADAM20,0.021818955,-1.0212
KCNA7,-0.037604968,-1.0058
SDAD1,-0.021303893,0.8648
ADAM29,-0.021303893,-1.0212
ADAM28,-0.028105365,-0.9981
ADAM23,-0.020046189,0.8532
STX6,-0.023864755,0.4830
STX5,0.003162922,0.7452
STX4,-0.042040344,0.9959
STX3,0.003162922,1.0846
BID,0.130009738,0.8532
STX2,-0.022021247,0.6758
SPDEF,0.006516998,-0.9595
MBD3,-0.037604968,1.2543
MBD4,0.126200805,0.8956
MBD5,-0.020046189,-0.0300
MBD6,-0.022021247,0.4675
PKLR,-0.023864755,-1.0096
BIK,-0.026816053,-0.6162
KCNB1,0.113522927,-0.9981
KCNB2,-0.028105365,-1.0212
MBD1,-0.024808183,1.0461
MBD2,-0.024808183,1.1000
ADAM33,0.113522927,-1.0173
ADAM32,-0.028105365,-0.9093
ADAM30,-0.023864755,-1.0173
KIAA2013,-0.023864755,1.1540
PKN2,-0.023864755,0.3210
MITD1,-0.020046189,0.6025
PKN1,-0.037604968,1.3777
KCNG1,0.113522927,1.0075
KCNG2,-0.024808183,-0.9942
KCNG3,-0.020046189,-0.8052
KCNG4,0.012695338,-1.0058
RASL11B,-0.021303893,-0.5545
FBXO27,-0.037604968,-0.7666
FBXO28,-0.023864755,0.5524
RASL11A,0.00722171,-0.5275
GOLIM4,0.126200805,1.1270
FBXO25,-0.336851662,-0.1187
FBXO24,-0.028190255,-0.8438
FBXO21,-0.022021247,0.3943
FBXO22,0.021625393,1.1425
FADS3,0.003162922,0.6758
FADS2,0.003162922,0.5794
PTAR1,-0.02299809,0.4405
POFUT2,-0.032013336,0.8262
FNTA,-0.028105365,0.8879
MYBPHL,-0.023864755,-1.0096
FADS6,0.415314528,-1.0212
POFUT1,0.113522927,1.2273
FNTB,0.021818955,1.4896
NEK1,-0.021303893,0.0394
TNFRSF8,-0.023864755,-0.9942
NEK2,-0.023864755,0.9882
NEK3,0.00722171,-0.9479
POTEA,-0.028105365,NA
TNFRSF4,-0.023864755,-0.9633
FADS1,0.003162922,0.6372
KCNH1,-0.023864755,-0.2344
PIAS4,-0.037604968,0.3055
KCNH2,0.037901483,-0.9942
PIAS3,-0.023864755,0.4752
KCNH3,-0.022021247,-0.7975
KCNH4,-0.013618898,-0.6972
DGAT2,0.003162922,-0.3848
KCNH5,0.021818955,-0.9595
DGAT1,0.122667917,0.8301
KCNH6,0.387470759,-1.0096
KCNH7,-0.020046189,-1.0173
KCNH8,0.126200805,-0.5931
STX8,-0.013618898,0.8802
FBXO16,-0.028105365,-0.0339
FBXO17,-0.037604968,0.7645
STX7,0.006516998,0.6642
FBXO15,-0.024808183,-0.9325
FBXO10,-0.02299809,-0.3655
FBXO11,-0.020046189,0.4945
PIAS2,-0.024808183,0.1783
PIAS1,0.021625393,0.4444
LENG1,-0.002227321,0.5061
NPAS4,0.003162922,-1.0212
MINPP1,-0.023899674,0.9265
DMTF1,-0.028190255,0.8609
PKP2,-0.022021247,-0.9981
PKP1,-0.023864755,-1.0096
PKP4,-0.020046189,0.6334
PKP3,0.003162922,-0.9595
BLK,-0.324675902,-0.9788
BLM,0.021625393,0.4791
KCNE2,-0.032013336,-0.9749
KCNE3,0.003162922,-1.0212
KCNE4,-0.020046189,-1.0058
KCNE5,-0.016323954,-0.9826
ZC4H2,-0.016323954,-0.5545
IREB2,0.021625393,0.6102
FBXO47,-0.013618898,-1.0212
FBXO48,-0.020046189,-0.7358
FBXO45,0.126200805,0.5215
FBXO46,-0.037604968,0.0857
FBXO43,-0.028105365,-0.2730
FBXO44,-0.023864755,0.8841
NPAS1,-0.037604968,-0.2036
CCDC144A,-0.013618898,-0.4157
NPAS2,-0.020046189,1.4896
FBXO41,-0.020046189,-0.0531
NPAS3,0.021818955,-0.7744
FBXO42,-0.023864755,0.0703
CCDC144B,-0.013618898,NA
FBXO40,0.126200805,-1.0212
MBIP,0.021818955,0.4598
BMF,0.021625393,-0.9055
NEK8,-0.013618898,-0.7589
KCNF1,-0.020046189,-1.0096
NEK9,0.021818955,0.8224
SDF2L1,0.130009738,1.6940
NEK4,0.126200805,0.8146
HTR1E,0.006516998,-1.0212
RASL10A,-0.026816053,-0.7666
HTR1F,0.126200805,-1.0096
NEK5,0.00722171,-0.9942
RASL10B,-0.013618898,-1.0173
NEK6,-0.047802058,1.0229
FBXO38,0.148392134,0.4637
TNFRSF9,-0.023864755,-1.0212
STYX,0.021818955,-0.0300
FBXO39,-0.013618898,-1.0212
NEK7,-0.023864755,0.4020
FBXO36,-0.020046189,-0.5314
HTR1A,0.148392134,-1.0212
HTR1B,0.006516998,-1.0212
FBXO34,0.021818955,0.2824
BMX,-0.016323954,-1.0096
FBXO32,-0.028105365,0.6372
FBXO33,0.021818955,0.0433
FBXO30,-0.092604653,-0.2151
FBXO31,0.012695338,0.3827
FAM90A1,-0.022021247,-1.0096
DRAP1,0.003162922,2.3497
VNN3P,0.006516998,-1.0212
SLC49A4,0.126200805,0.4290
MNAT1,0.021818955,0.9535
SLC49A3,-0.021303893,-0.9826
BCAR3,-0.023864755,0.6874
PIWIL2,-0.324675902,-1.0096
KCNK5,0.006516998,-0.8476
KCNK6,-0.037604968,-0.9981
PIWIL1,-0.022021247,-1.0212
KCNK7,0.003162922,-0.8592
ALAS2,-0.016323954,-0.9981
PIWIL4,0.003162922,-0.8168
ALAS1,0.126200805,1.5629
PIWIL3,0.130009738,-1.0212
KCNK9,0.122667917,-0.9595
ONECUT2,-0.024808183,-0.9903
ONECUT3,-0.037604968,-1.0212
ONECUT1,0.021625393,0.0009
HTR2B,-0.020046189,-1.0058
PPWD1,0.148392134,0.9303
HTR2C,-0.016323954,-1.0212
NENF,-0.023864755,1.1926
HTR2A,0.00722171,-1.0212
TNFSF13B,0.00722171,-0.9788
BOC,0.126200805,-0.3424
SPDL1,0.148392134,1.2273
NEO1,0.021625393,0.4714
BCAS2,-0.023864755,1.2119
BCAS1,0.113522927,-0.9826
MBL2,-0.023899674,-1.0173
BOK,-0.020046189,-0.0994
SLC36A1,0.148392134,0.4135
BCAS4,0.113522927,-0.1187
BCAS3,0.387470759,1.5667
SLC36A3,0.148392134,-1.0212
SLC36A2,0.148392134,-1.0212
PIANP,-0.022021247,-0.9672
VPS13C,0.021625393,0.3634
HTR3E,0.126200805,-1.0212
DHPS,-0.037604968,1.4896
VPS13D,-0.023864755,0.6179
HTR3C,0.126200805,-1.0212
VPS13A,-0.02299809,0.0394
VPS13B,-0.028105365,-0.1187
HTR3D,0.126200805,-1.0212
HTR3A,0.003162922,-1.0212
HTR3B,0.003162922,-1.0173
RABGGTB,-0.023864755,1.7171
RABGGTA,0.021818955,0.7298
NEMF,0.021818955,0.8378
C1D,-0.020046189,0.6604
BPI,0.113522927,-1.0212
BCAT1,-0.022021247,-0.9518
BCAT2,-0.037604968,0.7606
C1S,-0.022021247,-0.9479
C1R,-0.022021247,0.7144
LRTM2,-0.022021247,-1.0173
LRTM1,0.126200805,-1.0212
LENG9,-0.002227321,-0.8824
LENG8,-0.002227321,1.1425
KCNQ5-IT1,0.006516998,NA
IL2RG,-0.016323954,-0.8631
DRAM1,-0.022021247,0.2207
AWAT1,-0.016323954,-1.0212
AWAT2,-0.016323954,-1.0212
U2AF2,-0.002227321,1.9563
DRAM2,-0.023864755,0.4637
SLC36A4,0.003162922,0.4637
KCNJ1,0.003162922,-1.0212
TSPOAP1,0.148640785,-1.0096
KCNJ2,0.415314528,-0.8515
KCNJ3,-0.020046189,-1.0212
KCNJ4,-0.026816053,-1.0173
KCNJ5,0.003162922,-1.0212
KCNJ6,-0.032013336,-1.0212
COL26A1,-0.028190255,-1.0096
GPKOW,-0.016323954,0.7568
KCNJ8,-0.022021247,-1.0212
