HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,-0.038939,0.11
RB1,-1.3947,5.28
SMARCB1,-0.0755632,49.78
MYT1L,0.685798,0.72
EHMT2,0.652111,30.51
JMJD1C,-1.35202,4.25
KEAP1,-0.115571,21.87
ADARB1,-0.159625,9.57
IKZF1,-0.0444989,0
PPP2R1A,-0.0721084,136.1
AKT2,-0.0721084,120.03
CHEK2,-0.0755632,10.02
MYC,-0.0235892,78.36
AKT3,0.692302,31.9
MYB,-0.0638774,1.3
KDR,-0.053155,0.07
FBXO4,-0.063541,7.32
AKT1,-0.0276442,150.25
PIP4K2C,-0.0137699,45.33
SOX9,0.697584,1.43
HMCN1,0.755063,56.63
SKP2,-0.0300587,8.17
B2M,-0.0447019,796.43
TP63,-0.0359841,0.09
EPHA5,-0.053155,1.6
DAXX,0.652111,34.06
CIRBP,-0.239649,175.74
DICER1,-0.0204461,8.9
HNF1A,-0.0397497,0.07
HLA-A,0.652111,2087
RUNX1,-0.0392619,0.04
TMEM82,-0.0409458,0
JMJD6,0.938141,19.96
BCR,-0.0755632,13.91
AR,0.0079814,0
SCGB1C1,-0.107983,0
KCNQ2,0.921946,0
DDIT4,-1.26627,10.82
BTK,0.0160021,1.08
TP53,-0.055495,32.98
EPHA3,-0.0325806,0.58
LLGL2,0.938141,5.81
EPHA10,-0.0636761,0.36
PDGFB,-0.14318,0
PRDM14,-0.0607515,0
PDGFA,-0.0444989,20.76
GATA3,-1.38883,0.05
PIK3R1,-0.065947,4.07
GATA2,-0.0584031,0
GATA1,0.0079814,0
NKAIN4,0.921946,3.66
GRIN2A,-0.043756,0
BRIP1,1.16729,7.4
H3C2,0.652111,0
APOBEC3C,-0.190567,22.32
WWTR1,-0.0584031,16.69
APOBEC3D,-0.190567,0.19
CREBBP,-0.043756,20.61
FER1L5,0.714884,0
APOBEC3F,-0.190567,0.07
YES1,-0.100995,11.84
APOBEC3G,-0.190567,0.07
XRCC2,-0.038939,3.83
PLK1,-0.043756,15.09
XRCC3,-0.0276442,17.68
BRAF,-0.038939,5.32
A1CF,-1.35202,0.05
H1-2,0.652111,11.35
SMARCA4,-0.115571,58.69
CYLD,-0.0149604,4.55
STAG2,0.0160021,14.26
AGO3,-0.0636761,1.42
AGO4,-0.0636761,6.19
AGO1,-0.0636761,7.86
FUBP1,-0.0092127,50.6
ID2,0.685798,4.49
AGO2,-0.222567,7.1
ID1,0.683058,0.47
ID3,0.577475,1.32
ATM,-0.113369,37.58
FAT4,-0.0161047,0.01
CDK12,-0.055495,12.66
BAP1,-0.0325806,59.07
APOBEC3A,-0.190567,0.39
EZH1,-0.055495,21.76
EZH2,-0.038939,9.2
ATR,-0.0584031,5.41
TP73,-0.139457,0.04
RET,-1.35202,0.01
COL18A1,-0.159625,24.88
SETD2,-0.0325806,2.3
CDKN1B,-0.0230222,6.09
SETD7,-0.0161047,6.75
CTCF,-0.0672783,11.11
BRCA1,-0.055495,6.04
GLI1,-0.0137699,1.39
BRCA2,0.725175,7.45
PHF6,0.0160021,5.24
GLI3,-0.0444989,2.37
GLI2,0.714884,0.29
MED12,0.0079814,24.71
HEY1,-0.0620284,80.08
HEY2,-0.0638774,1.18
CIC,-0.0721084,25.68
JAK2,-0.0516434,3.36
TEAD1,0.683903,50.54
JAK3,-0.115571,0.62
HRAS,-0.107983,51.31
TEAD2,-0.0721084,8.07
H3-3A,0.661317,398.5
CCR2,-0.0325806,0
JAK1,-0.0092127,24.43
APOBEC1,-0.0788351,0
PRMT6,-0.0321661,14.51
TEAD4,-0.0788351,17.28
PRMT5,-0.0231653,44.61
PBRM1,-0.0325806,10.34
APOBEC2,0.652111,0
PRMT2,-0.159625,84.93
APOBEC4,0.692835,0
PRMT1,-0.0721084,126.32
HSBP1,-1.35838,28.79
GPR32,-0.0721084,0
NCOA3,1.0798,10.55
PRMT3,-0.00570669,20.46
MST1,-0.0325806,11.71
TET2,-0.051619,0.2
ASH1L,0.634332,6.55
PAX5,-0.00854547,0.01
ITPKB,0.661317,99.3
MED23,-0.0638774,10.29
RAD51B,-0.0204461,10.8
RAD51D,-0.055495,7.24
NCOR1,-0.055495,20.81
RAD51C,0.740552,26.9
KIT,-0.053155,0.15
DDR2,0.692835,0.28
YAP1,-0.00685182,50.69
AMER1,0.0079814,1.58
SLC66A1,-0.0409458,17.09
DOT1L,-0.239649,13.39
CXCR4,0.714884,4.73
EGFR,-0.0444989,0.07
RAD54B,0.650653,6.27
NSD3,-0.0221495,14.92
NRAS,1.21117,40.99
HSF2,-0.0638774,9.23
NSD1,-1.40002,4.16
NSD2,-0.0979072,17.66
HSF1,-0.222567,48.26
SPOP,-0.0128314,14.22
HSF4,-0.0672783,42.04
RAD54L,1.0395,15.6
PMS2,-0.0444989,9.94
CSMD3,-0.0235892,0.1
BID,-0.00426682,20.31
PAK3,0.0160021,0.01
SF3B1,0.67564,124.19
PMS1,0.67564,10.2
NPM1,-1.38868,315.03
MAP3K1,-0.065947,12.85
CDKN2C,0.693539,7.05
CDKN2A,-0.00854547,173.46
H2BC4,0.652111,1.41
SAAL1,-0.00570669,15.04
WNT7A,-0.0490221,0
MLH1,-0.0490221,15.17
TARBP2,-0.0137699,40.69
DSPP,-0.051619,0
KLHL6,-0.0359841,0.18
TTC5,-0.0231653,7.6
WT1,-0.00570669,0
NEK10,-0.0490221,0.03
CTNNB1,1.20285,1253.25
CRLF2,1.15767,0.02
FOXA1,-0.0231653,0.22
PRDM9,-0.0300587,0
KDM1A,0.577475,70.43
KDM1B,1.13617,23.65
ATN1,-0.0788351,47.51
MPL,-0.0636761,0.08
PRDM2,-0.0409458,10.26
PRDM1,-0.0594947,0.27
IGF1R,-0.002275,15.78
STK11,-0.239649,21.62
CCND1,0.690561,1723.61
CDH1,-1.2782,86.38
HCFC1R1,-0.166533,57.4
EP300,-0.14318,16.92
ARID2,-0.0230222,2.33
ROS1,-0.0638774,0
MEN1,-0.118112,14.97
PDGFRB,-0.0442237,0
LMO1,-0.107983,0
RNF43,0.740552,16.14
PDGFRA,-0.053155,0.08
MAP2K4,-0.055495,8.29
MAP2K1,-0.0447019,20.27
KDM2A,-0.118112,21.59
MAP2K2,-0.239649,89.85
KDM2B,-0.0397497,18.17
FBXW7,-0.0603518,8.5
HGF,-0.0444989,0
TSC1,-0.226902,7.63
TLE6,-0.239649,2.2
MSH6,1.45669,52.91
MYCL,-0.0636761,0.16
GPRIN2,-1.35202,0.04
MYCN,0.685798,0.04
MSH2,1.45669,30.47
SMO,-0.038939,20.42
TBL1XR1,-0.0359841,19.15
CCNE1,0.0314774,7.39
SRSF2,0.938141,195.57
PGR,-0.00685182,0
RAD54L2,-0.0325806,9.67
ROR2,-0.046131,0
RAF1,-0.0490221,46.57
PPEF1,0.0079814,0.06
CARD11,-0.0444989,0.02
NOTCH2,0.0302298,23.78
INO80C,-0.0198058,15.36
KMT2D,-0.0230222,23.83
NOTCH3,-0.115571,2.22
CSF1R,-0.0442237,0
