HGNC_Symbol,log2R_CNA,Z_Score
EPHB6,2.33916,0.18
RB1,1.57253,30.33
SMARCB1,0.0248662,12.25
MYT1L,0.915991,0.19
EHMT2,1.43939,17.3
KEAP1,1.42247,20.53
JMJD1C,0.917392,27.89
ADARB1,0.876803,3.6
IKZF1,2.28368,0.01
PPP2R1A,1.45686,124.44
AKT2,1.45686,211.31
MYC,2.50928,78.46
CHEK2,0.0248662,21.08
MYB,0.0140179,0.21
AKT3,1.90691,29.52
KDR,1.17546,0.05
FBXO4,1.57931,13.77
AKT1,0.898109,39.63
HMCN1,2.03782,0.11
PIP4K2C,0.993274,9.71
SOX9,1.43921,91.08
SKP2,1.55768,13.9
B2M,0.880485,1936.42
TP63,0.889045,0
EPHA5,0.970232,0
DAXX,1.43939,22.91
CIRBP,1.42247,443.64
HNF1A,0.841292,0.03
DICER1,0.898109,15.8
HLA-A,1.3861,325.37
TMEM82,0.873011,0
RUNX1,0.876803,14.43
JMJD6,1.43921,13.17
BCR,0.0248662,11.65
AR,1.48562,0.05
SCGB1C1,1.42201,0
KCNQ2,1.38301,3.08
DDIT4,0.917392,131.57
BTK,1.52294,0.04
TP53,1.41835,51.48
EPHA3,1.11422,0
LLGL2,1.43921,0.73
EPHA10,1.36624,0.25
PDGFB,0.0248662,0.25
PRDM14,2.55467,0
PDGFA,2.22828,29.06
PIK3R1,1.57931,24.53
GATA3,0.887082,0.47
GATA2,0.906235,4.27
GATA1,1.48562,0
BRIP1,1.43921,3.22
GRIN2A,1.4302,0.15
NKAIN4,1.38301,0.25
H3C2,1.50622,0.11
APOBEC3C,0.0248662,20.88
APOBEC3D,0.0248662,1.1
WWTR1,0.985625,125.45
CREBBP,1.4302,19.05
FER1L5,1.02074,0.04
YES1,0.91819,27.23
APOBEC3F,0.0248662,4.67
APOBEC3G,0.0248662,9.71
XRCC2,2.25789,6.64
PLK1,1.4302,15.43
XRCC3,0.898109,7.42
BRAF,2.33916,16.49
A1CF,0.917392,0
SMARCA4,1.42247,60.3
H1-2,1.50622,33.85
CYLD,1.48065,17.61
STAG2,1.47678,44.79
AGO3,1.36624,6.44
AGO4,1.36624,7.77
FUBP1,0.080613,60.01
AGO1,1.36624,7.51
ID2,0.915991,25.2
ID1,1.42535,215.11
AGO2,2.35412,17.47
ID3,0.873011,191.42
ATM,1.97679,77.52
FAT4,1.06632,0.84
CDK12,1.38483,22.23
APOBEC3A,0.0248662,0.34
EZH1,1.48845,18.83
BAP1,0.880485,18.92
EZH2,2.25789,15.23
TP73,0.878214,0.37
ATR,0.906235,12.52
RET,0.917392,0.18
COL18A1,0.876803,56.7
SETD2,0.880485,13.28
CDKN1B,0.88941,16.56
SETD7,1.0688,10.18
CTCF,1.46086,17.03
BRCA1,1.48845,10.61
BRCA2,1.56609,2.18
GLI1,0.993274,2.51
PHF6,1.47678,7.01
GLI3,2.25773,6.18
GLI2,0.941325,1.4
MED12,1.48562,13.37
HEY1,2.65938,0.37
HEY2,0.0140179,0.08
CIC,1.45686,20.31
JAK2,1.50442,2.85
HRAS,1.42201,25.56
JAK3,1.42247,0.06
TEAD1,1.42201,91.23
TEAD2,1.45686,14.85
H3-3A,1.90161,285.82
JAK1,0.080613,19.07
CCR2,0.880485,0
APOBEC1,0.879587,0
PRMT6,0.00504821,3.82
TEAD4,0.879587,5.85
PRMT5,0.969018,47.31
PBRM1,0.880485,15.55
APOBEC2,1.43939,0
PRMT2,0.876803,84.31
APOBEC4,1.90362,0
HSBP1,1.38051,78.21
PRMT1,1.45686,136.14
GPR32,1.45686,0
NCOA3,1.42535,10.33
MST1,0.880485,7.84
PRMT3,1.53826,20.22
TET2,0.97809,3.94
ASH1L,1.82546,27.55
PAX5,1.50147,0.01
RAD51B,0.875471,3
MED23,0.0140179,8.1
ITPKB,1.90161,12.06
RAD51D,1.41835,6.18
RAD51C,1.43921,15.16
NCOR1,1.41835,43
